ID,Title,Authors,Venue,Venue Acronym,Venue Type,Year,Tactic Employed,"Tactic Type (Measurement, Refactoring, Implementation Tactic)","Abstraction Level (Architectural, Design, Code)","Platform (Agnostic, Workstation, Cloud, Mobile)","Software Development Stage (Requirements, Design, Implementation, Verification, and Maintenance)",Context,Study Design,Threats to Validity,Rigor,IR Subjects,IR Context,IR Scale,IR Research Method,Industrial Relevance,"Industry Involvement (Academic, Industrial, Mix)",Notes,,Year,Total,Journal,Conference,Workshop,Not Published (for which extention was found),Total Without SLRs,,Venue Acronym,With SLRs,Without SLR,Venue Acronym (Most Frequent),,Journals,Conferences,Workshops,Total
LI3HIYWS,Green: A framework for supporting energy-conscious programming using controlled approximation,"Baek, Woongki; Chilimbi, Trishul M.",Proceedings of the 31st ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,C,2010,"Paper proposes a framework for energy-aware computing by allowing programmers declare approximate versions of functions and an allowed QoS degradation for loops to substitute expensive loops and functions by less expensive ones without dropping the QoS below the allowed QoS degradation. They do so in two phases, a calibration phase in which a QoS model is constructed by measuring the use of the approximate functions and loops vs. the drop in QoS, and an approximation phase which uses the model built during the calibration phase at runtime to improve energy efficiency.","Approximate Computing, Programming Language, Dynamic Optimization",Code,Agnostic,"Design, Implementation",1,1,0,2,0,0,1,0,1,Mixed,,,,,,,,,,,HPCC/SmartCity/DSS,1,1,,,,,,
F75EJ3E3,Towards power reduction through improved software design,"Sahin, Cagri; Cayci, Furkan; Clause, James; Kiamilev, Fouad; Pollock, Lori; Winbladh, Kristina",2012 IEEE Energytech,IEEE Energytech,C,2012,"Paper proposes a method to map software design to energy consumption. They do so by using an FPGA board to simulate a computer system, and then use the boards real time power monitor to indicate when specific code sequences start and stop executing.",Software Design,"Design, Code",Agnostic,"Design, Implementation",0.5,0.5,0,1,0,0,0,0,0,Academic,,,,,,,,,,,EnviroInfo,1,1,,,,,,
KSR7NJ2X,A study of the energy consumption of databases and cloud patterns,"Bani, Béchir; Khomh, Foutse; Guéhéneuc, Yann-Gaël",International Conference on Service-Oriented Computing,ICSOC,C,2016,Paper evaulates the energy consumption of cloud patterns and databses and makes recommendations on design patterns that increase energy efficiency.,"Archtectural Design, Architectural Optimization",Architectural,Cloud,Design,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,ICSEW,1,1,,,,,,
JZINRXHH,"Using the Greenup, Powerup, and Speedup metrics to evaluate software energy efficiency","Abdulsalam, Sarah; Zong, Ziliang; Gu, Qijun; Qiu, Meikang",2015 Sixth International Green and Sustainable Computing Conference (IGSC),IGSC,C,2015,Paper provides accurate metrics to measure the energy consumption vs performance of algorithms. It does so by introducing the speedup and greenup and powerup metrics. Speedup measures the optimization increase of optimized code vs non-optimized code. Greenup measures the energy increase of the optimized code vs the non-optimized code. Powerup measures the ratio between speedup and greenup in an algorithm. They also provide optimization scenarios based on the metrics and how to obtain them.,"Dynamic Software measuring, software optimiztion","Architectural, Design, Code",Agnostic,"Verification, Maintenance",1,0.5,0,1.5,0,0,0,0,0,Academic,,,,,,,,,,,Information Systems Frontiers,1,1,,,,,,
7FV8X9PI,Performance events based full system estimation on application power consumption,"Yang, Shu; Luan, Zhongzhi; Li, Binyang; Zhang, Ge; Huang, Tianming; Qian, Depei",2016 IEEE 18th International Conference on High Performance Computing and Communications; IEEE 14th International Conference on Smart City; IEEE 2nd International Conference on Data Science and Systems (HPCC/SmartCity/DSS),HPCC/SmartCity/DSS,C,2016,"Paper proposes measuring the energy consumption of software on different hardware components by creating a machine learning model that predicts the energy consumption of an application type (computation intensive, memory-intensive) by using performance events (cache misses, active cycles) as predictors of energy consumption. They do this by first runnning micro-benchmarks on hardware components to find how different performance events of different types of applications affects their energy consumption. Once the authors find the related performance events, they create a model that predicts the energy consumption throughout the whole system.   ","Software Measuring, Perfomance Events, Dynamic Measuring",Architectural,Agnostic,Verification,1,0.5,0.5,2,0,0,1,0,1,Academic,,,,,,,,,,,MySEC,1,1,,,,,,
6VBJLJ6V,EARLY ANALYSIS OF SOFTWARE ARCHITECTURE TO ESTIMATE ENERGY CONSUMPTION IN ANDROID PLATFORM,"AL NIDAWI, HASAN SAJID ATTA; WEI, KOH TIENG; KHALEEL, AMMAR; DAWOOD, KAREEM ABBAS",Journal of Theoretical and Applied Information Technology,JATIT,J,2018,Paper analyzes the energy consumption difference between a server-centric and a mobile-centric architecture.,,Architectural,Mobile,Design,0.5,1,0,1.5,0,0,0,0,0,Academic,,,,,,,,,,,ESEC/FSE,1,1,,,,,,
95RQKDX5,Saving Energy on Mobile Devices by Refactoring.,"Gottschalk, Marion; Jelschen, Jan; Winter, Andreas",EnviroInfo,EnviroInfo,C,2014,"Paper proposes a refactoring process to eliminate the energy code smells of an application. It does so by first analyzing the source code of an application, generating a metamodel, eliminating energy code smells in the application, and unparsing the model into source code. It then proposes to perform an evaluation on the re-written applications to find the energy percentage saved.","Refactoring, Static Code Analysis","Design, Code",Mobile,"Verfification, Maintenance",1,0.5,0,1.5,0,0,1,0,1,Academic,,,,,,,,,,,ICCIS,1,0,,,,,,
NDDAZBX9,Deep parameter optimisation on android smartphones for energy minimisation: a tale of woe and a proof-of-concept,"Bokhari, Mahmoud A.; Bruce, Bobby R.; Alexander, Brad; Wagner, Markus",Proceedings of the Genetic and Evolutionary Computation Conference Companion,GECCO,C,2017,Paper proposes using an automatic aproximate programming technique using deep parametization that decides on the quality degradation based on a test suite that ensures the approximation does not fall outside of the quality degradation. ,"Refactoring, Approximate Computing, Genetic Improvements, Static Optimization",Code,Mobile,"Implementation, Verfification, Maintenance",1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,LATINCOM,1,1,,,,,,
XSNECSAB,Catalog of energy patterns for mobile applications,"Cruz, Luis; Abreu, Rui",Empirical Software Engineering,Empirical Software Engineering,J,2019,"Paper analyzes github commits of open source mobile applications to find energy efficiency patterns. The authors find 22 patterns that can be used to increase the energy efficiency of mobile applications, and provide context, a solution and an example to each pattern. The patterns however are not tested for their energy efficiency improvement. ","Refactoring, Design Patterns, Commit Analysis",Design,Mobile,"Implementation, Maintenance",1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,Requirements Engineering,1,1,,,,,,
EUGXAZQP,Exploring evolutionary search strategies to improve applications’ energy efficiency,"Manotas, Irene; Clause, James; Pollock, Lori",International Symposium on Search Based Software Engineering,SSBSE ,J,2018,Paper proposes using different genetic algorithms to explore software developers’ high level decisions that improve an application’s energy usage. To do so they extend the SEEDS approach to use a genetic algorithm instead of an exhaustive search.,"Genetic Improvement, Search Based Refactoring, Static Optimization",Code,Agnostic,"Implementation, Maintenance",0.5,0.5,1,2,0,0,1,0,1,Mixed,Extended version.,,,,,,,,,,Computing,1,1,,,,,,
92K5Z6UT,Inheritance versus delegation: Which is more energy efficient?,"Connolly Bree, Déaglán; Cinnéide, Mel Ó",Proceedings of the IEEE/ACM 42nd International Conference on Software Engineering Workshops,ICSEW,C,2020,Paper proposes replacing delegation by inheritance in order to increase the energy efficiency of an application.,"Refactoring, Design Patterns, Static Optimization",Design,Agnostic,"Implementation, Maintenance",0.5,0.5,1,2,0,0,0,0,0,Academic,,,,,,,,,,,DATE,1,1,,,,,,
TFPBHQPQ,Greenadvisor: A tool for analyzing the impact of software evolution on energy consumption,"Aggarwal, Karan; Hindle, Abram; Stroulia, Eleni",2015 IEEE international conference on software maintenance and evolution (ICSME),ICSME,C,2015,Paper proposes a technique to analyze system calls of different git commits of a software proyect to predict how the energy consumption of the new software version will compare to that of the previous version.,"Dynamic Measuring, System Calls, Commit Analysis",Code,Mobile,"Implementation, Verfification, Maintenance",1,1,1,3,0,0,0,1,1,Academic,,,,,,,,,,,Environmental Impact Assessment Review,1,1,,,,,,
N6B6VC4R,Phone2Cloud: Exploiting computation offloading for energy saving on smartphones in mobile cloud computing,"Xia, Feng; Ding, Fangwei; Li, Jie; Kong, Xiangjie; Yang, Laurence T.; Ma, Jianhua",Information Systems Frontiers,Information Systems Frontiers,J,2014,"Paper proposes a computational offloading technique for mobile phones that in addition to considering input size, bandwidth, CPU workload it also considers a user’s delay-tolerance threshold.","Computation offloading, Energy Aware Computing",Architectural,Mobile,Design,1,0.5,0,1.5,0,0,0,0,0,Academic,,,,,,,,,,,HCII,1,1,,,,,,
WDMGKU7Q,Automated Refactoring for Energy-Aware Software,"Bree, Déaglán Connolly; Cinnéide, Mel Ó",2021 IEEE International Conference on Software Maintenance and Evolution (ICSME),ICSME,C,2021,Paper proposes to investigate software patterns and code smells that improve the energy efficiency of software.,"Refactoring, Design Patterns","Design, Code",Agnostic,"Design, Implementation",-,-,-,-,-,-,-,-,-,Academic,,,,,,,,,,,RE4SuSy,1,1,,,,,,
G5EDMH82,"Modeling, profiling, and debugging the energy consumption of mobile devices","Hoque, Mohammad Ashraful; Siekkinen, Matti; Khan, Kashif Nizam; Xiao, Yu; Tarkoma, Sasu",ACM Computing Surveys (CSUR),CSUR,J,2015,,,,,,,,,,,,,,,,SLR,,,,,,,,,,IWCMC,1,1,,,,,,
AIPITBCT,"Choosing the"" Best"" Sorting Algorithm for Optimal Energy Consumption.","Bunse, Christian; Höpfner, Hagen; Roychoudhury, Suman; Mansour, Essam",ICSOFT (2),ICSOFT,C,2009,,,,,,,,,,,,,,,,Extended by WKB2W4CI,,,,,,,,,,CGO,1,1,,,,,,
WKB2W4CI,Energy efficient data sorting using standard sorting algorithms,"Bunse, Christian; Höpfner, Hagen; Roychoudhury, Suman; Mansour, Essam",International Conference on Software and Data Technologies,ICSOFT,C,2009,Paper proposes using different sorting algorithms at runtime depending on the input and user need. They do this by first profiling sorting algorithms via trend functions and then use a dynamic optimization approach that changes the used implementation at runtime. The authors find that the adaptive strategy strikes a balance between energy-efficiency and performance.,"Energy-aware computing, algorithm implementation",Code,Mobile,Implementation,0.5,0.5,1,2,0,0,0,0,0,Academic,Extended version,,,,,,,,,,CSET,1,1,,,,,,
U2KEHF3V,Understanding the impact of object oriented programming and design patterns on energy efficiency,"Maleki, Sepideh; Fu, Cuijiao; Banotra, Arun; Zong, Ziliang",2017 Eighth International Green and Sustainable Computing Conference (IGSC),IGSC,C,2017,Paper performs an analysis of different OOP features and design patterns on their energy consumption and finds design patterns that decrease energy consumption. They find that overloading and the decorator pattern highly increase the energy consumption of an application while the flyweight pattern increases the energy efficiency and performance of an application.,Design Patterns,Design,Agnostic,Implementation,1,0.5,0,1.5,0,0,0,0,0,Academic,,,,,,,,,,,ISIC,1,1,,,,,,
TSMJCEQN,Toward using software metrics as indicator to measure power consumption of mobile application: A case study,"Keong, Ching Kin; Wei, Koh Tieng; Ghani, Abdul Azim Abd; Sharif, Khaironi Yatim",2015 9th Malaysian Software Engineering Conference (MySEC),MySEC,C,2015,"Paper analyzes 18 different software metrics such as the McCave cyclomatic complexity, number of parameters, nested block depth between others, and finds metrics that have a correlation to the energy consumption of software. They do this to aid developers identifying the energy consumption of their applications before they reach production and the cost of refactoring increases.  ","Measruring, Software Metrics",Code,Mobile,Verification,1,1,0,2,0,0,1,0,1,Academic,,,,,,,,,,,DASC,1,1,,,,,,
V74XCRN7,Optimizing energy consumption of guis in android apps: A multi-objective approach,"Paper proposes a multi-objective technique to generate color compositions that reduce the energy consumption of GUIs in Android apps and are visually attractive at the same time. The paper uses pixel-engineering, power-models, color theory, dynamic analysis and genetic algorithms to create a pareto-optimal color set to optimize three scenarios, increasing energy efficiency, increasing contrast, and improving the attractiveness of colors.",Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,ESEC/FSE,C,2015,"Paper proposes a multi-objective technique to generate color compositions that reduce the energy consumption of GUIs in Android apps and are visually attractive at the same time. The paper uses pixel-engineering, power-models, color theory, dynamic analysis and genetic algorithms to create a pareto-optimal color set.","GUI, Color Palette Optimization, Screen Energy Saving, Genetic Algorithm",Architectural,Mobile,Design,1,1,1,3,1,0,1,1,3,Academic,,,,,,,,,,,IJITS,1,1,,,,,,
AAPZ4E7T,"Energy efficiency across programming languages: how do energy, time, and memory relate?","Pereira, Rui; Couto, Marco; Ribeiro, Francisco; Rua, Rui; Cunha, Jácome; Fernandes, João Paulo; Saraiva, João",PLDI '10: Proceedings of the 31st ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,C,2017,"Paper analyzes the energy consumption of programming languages compared to their execution time and memory consumption. They then provide a pareto-optimal pairing between programs based on the needs of the application (energy efficiency, execution time, memory consumption)",Programming Language Benchmarking,Architectural,Agnostic,"Requirements, Design",1,1,1,3,0,0,0,0,0,Academic,,,,,,,,,,,SEAA,1,1,,,,,,
5CUHSVVB,Green IT–Available data and guidelines for reducing energy consumption in IT systems,"Ardito, Luca; Morisio, Maurizio",Sustainable Computing: Informatics and Systems,SUSCOM,J,2014,,,,,,,,,,,,,,,,SLR,,,,,,,,,,MDM,1,1,,,,,,
5HSE8H76,Software energy measurement at different levels of granularity,"Ghaleb, Taher Ahmed",2019 International Conference on Computer and Information Sciences (ICCIS),ICCIS,C,2019,,,,,,,,,,,,,,,,SLR,,,,,,,,,,MOBISYS,1,1,,,,,,
S2IRVNC6,A study of energy-aware implementation techniques: Redistribution of computational jobs in mobile apps,"Corral, Luis; Georgiev, Anton B.; Sillitti, Alberto; Succi, Giancarlo",Sustainable Computing: Informatics and Systems,SUSCOM,J,2015,"Paper analyzes the energy consumption of methods under different execution scopes of the Android OS runtime (java, native code, or C outside of the JVM). In addition, the authors also test the methods energy consumption in an external server and compares it to the local execution environments. Paper finds that executing C code outside of the JVM is the most energy efficient in most of the cases executed locally, while offloading to a server is the most energy efficient overall.","Execution Environments, Programming Language Features, Computation Offloading",Architecture,Mobile,Implementation,1,1,0,2,0,0,0,0,0,Academic,,,,,,,,,,,EUROSYS,1,1,,,,,,
DJW8RCH4,"Comparing REST, SOAP, Socket and gRPC in computation offloading of mobile applications: An energy cost analysis","Chamas, Carolina Luiza; Cordeiro, Daniel; Eler, Marcelo Medeiros",2017 IEEE 9th Latin-American Conference on Communications (LATINCOM),LATINCOM,C,2017,"Paper alayzes different architectural styles to offload computations to the cloud including SOAP, REST, Socket, and gRPC, and finds that REST and websocket are the most energy efficient computation offloading communication protocols, and that computational offloading can improve the energy efficiency of an application up to ten times",Computational Offloading,Architectural,Mobile,Design,0.5,0.5,0,1,0,0,0,0,0,Academic,,,,,,,,,,,Automated Software Engineering,1,1,,,,,,
37QLWH7J,Green software requirements and measurement: random decision forests-based software energy consumption profiling,"Beghoura, Mohamed Amine; Boubetra, Abdelhak; Boukerram, Abdallah",Requirements Engineering,Requirements Engineering,J,2017,"Paper introduces green requirements that concern the direct negative impact of software and that are specified as software quality attributes as well as a tool that measures the software quality attributes adopted. The requirements are green computation efficiency, green data management, green data communication, and energy consumption awareness. To measure whether these requirements are met, the authors propose an energy consumption model based on machine learning that estimates the impact of a particular software application on the energy consumption of the device rather than determining the energy usage of the whole device.","Requirements Engineering, Machine Learning Modeling, Measuring",,"Workstation, Mobile","Requirements, Verification",1,1,0,2,0,0,1,0,1,Academic,,,,,,,,,,,Journal of Systems and Software,1,1,,,,,,
G5W86TY3,Extending software architecture views with an energy consumption perspective,"Jagroep, Erik; van der Werf, Jan Martijn; Brinkkemper, Sjaak; Blom, Leen; van Vliet, Rob",Computing,Computing,J,2017,"Paper introduces an energy consumption perpective on software architecture design following the detailed format and viewpoint catalog described by Rozanski and Woods including: the applicability to views through key questions, concerns that can be addressed, activities for application and architectural tactics. The authors also position sustainability as a quality attribute following the ISO 25010 format and define subattributes which include several energy consumption focsued attributes.","Energy Consumption Architectural Perspective, Perspective Activities, Green Architectural Tactics",Architectural,Agnostic,"Requirements, Design",1,1,1,3,1,1,1,1,4,Mixed,,,,,,,,,,,Software-Practice & Experience,1,1,,,,,,
3EL5YH3B,Mobile device power models for energy efficient dynamic offloading at runtime,"Ali, Farhan Azmat; Simoens, Pieter; Verbelen, Tim; Demeester, Piet; Dhoedt, Bart",Journal of Systems and Software,JSS,J,2016,"Paper proposes a model that estimates the mobile energy consumption of an application that takes into account the CPU, display, wireless network interface, and memory. This model then allows a mobile application to be executed in the cloud, locally, or in a hybrid approach. The authors then present a method to offload parts of an application at runtime based on the model estimations. ","Computational Offloading, Energy Consumption Model, Hardware Component Measuring",Code,Mobile,Implementation,0.5,1,0,1.5,0,0,1,0,1,Academic,,,,,,,,,,,IDAACS,1,1,,,,,,
AZHT26VR,Energy optimization in Android applications through wakelock placement,"Alam, Faisal; Panda, Preeti Ranjan; Tripathi, Nikhil; Sharma, Namita; Narayan, Sanjiv","2014 Design, Automation & Test in Europe Conference & Exhibition (DATE)",DATE,C,2014,"Paper proposes placing the wakelock acquire and release function calls at appropriate positions in the application depending on the usage of an application. This way, overutilization can be avoided by not placing the wakelock to early, or by placing a useless wakelock.","Data Flow Analysis, Wakelock Placement",Code,Mobile,Implementation,0.5,0.5,0,1,0,0,1,0,1,Academic,,,,,,,,,,,ICPPW,1,1,,,,,,
5IT56E4B,Energy Efficiency Analysis of Code Refactoring Techniques for Green and Sustainable Software in Portable Devices,"Şanlıalp, İbrahim; Öztürk, Muhammed Maruf; Yiğit, Tuncay",Electronics,Electronics,J,2022,Paper analyzes the energy consumption and maintainability improvement of combining code-level refactorings through an application's code both in mobile and desktop.,"Code Refactoring, Combining Code Refactoring Techniques",Code,"Workstation, Mobile",Maintenance,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,CSMR,1,0,,,,,,
55EMQ48G,Impacts of software and its engineering on the carbon footprint of ICT,"Kern, Eva; Dick, Markus; Naumann, Stefan; Hiller, Tim",Environmental Impact Assessment Review,Environmental Impact Assessment Review,J,2015,"Paper proposes measuring the energy efficiency of software during the CI cycle. They propose a strategy, based on well-known software testing approaches and CI, to take energy efficiency into account during the daily work of a software developer.",CI/CD Measuring,"Design, Code",Agnostic,Verification,0.5,0,0,0.5,0,0,0,0,0,Mixed,,,,,,,,,,,IJATCSE,1,1,,,,,,
XX5522G7,Green Patterns of User Interface Design: A Guideline for Sustainable Design Practices,"Nayak, Jitesh; Chandwadkar, Apurva",International Conference on Human-Computer Interaction,HCII,C,2021,Paper proposes guidelines to reduce energy consumption of software products through User Interface design.,"GUI Green Patterns, ",Design,Cloud,Design,0.5,0,0,0.5,0,0,0,0,0,Industrial,,,,,,,,,,,ICIC,1,1,,,,,,
59HNH3FK,Evaluation of Software Product Quality Attributes and Environmental Attributes using ANP Decision Framework.,"Koçak, Sedef Akinli; Alptekin, Gülfem Isiklar; Bener, Ayse",RE4SuSy@ RE,RE4SuSy,W,2014,"Paper extends their previously proposed ANP framework, a multi-criteria decision making (MCDM) approach that incorporates multiple objectives for prioritizing conflicts, to include energy efficiency requirements by defining sub-criteria of quality and environmental criteria. This framework helps developers designing software systems to prioritize between possible conflicting functional and quality requirenments and energy efficiency.",Software Development Process Tactics,"Architectural, Design, Code",Agnostic,Requirements,0.5,0.5,1,2,1,0,0,1,2,Academic,,,,,,,,,,,ICSM,1,1,,,,,,
DVMM6IHF,Self-adaptive battery and context aware mobile application development,"Datta, Soumya Kanti; Bonnet, Christian; Nikaein, Navid",2014 International Wireless Communications and Mobile Computing Conference (IWCMC),IWCMC,C,2014,"Paper proposes a self adaptive mobile application framework that changes the application's behavior, UX, optimizing resource usage, and performance depending on the available battery and context such as travelling.","Energy Aware Application, Self-Adaptive Application",Architectural,Mobile,Implementation,0,0.5,0,0.5,0,0,0,0,0,Academic,,,,,,,,,,,INTERACT,1,1,,,,,,
85U3NXXL,Greenbundle: an empirical study on the energy impact of bundled processing,"Chowdhury, Shaiful Alam; Hindle, Abram; Kazman, Rick; Shuto, Takumi; Matsui, Ken; Kamei, Yasutaka",2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE),ICSE,C,2019,"Paper analyzes the energy-efficiency of the model-view-controller architectural pattern vs the model-view-presenter architectural pattern with event bundling in mobile applications. An event can be a database update request, a packet transmission request, a view update request. By bundling these events and processing them all at once applications can save significant energy compared to the non-bundled version.","Energy Efficient Architectural Patterns, Event Bundling",Architectural,Mobile,Design,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,SCAM,1,1,,,,,,
AU5ZJQD5,Refactoring for energy efficiency: A reflection on the state of the art,"Pinto, Gustavo; Soares-Neto, Francisco; Castor, Fernando",2015 IEEE/ACM 4th International Workshop on Green and Sustainable Software,GREENS,W,2015,,,,,,,,,,,,,,,,SLR,,,,,,,,,,IEEE Systems Journal,1,1,,,,,,
8JYDG2EY,Reducing energy consumption using genetic improvement,"Bruce, Bobby R.; Petke, Justyna; Harman, Mark",Proceedings of the 2015 Annual Conference on Genetic and Evolutionary Computation,GECCO,C,2015,"Paper proposes using a genetic improvement algorithm to improve subtle code design decisions such as introducing inline methods, swapping API implementations, and constructing semantically equivalent (but structurally inequivalent) algorithms to increase the energy efficiency of applications.","Genetic Improvement, Search Based Software Optimization,",Code,Agnostic,Implementation,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,ERLANG,1,1,,,,,,
MNKBE98K,Towards automatic significance analysis for approximate computing,"Vassiliadis, Vassilis; Riehme, Jan; Deussen, Jens; Parasyris, Konstantinos; Antonopoulos, Christos D.; Bellas, Nikolaos; Lalis, Spyros; Naumann, Uwe",2016 IEEE/ACM International Symposium on Code Generation and Optimization (CGO),CGO,C,2016,"Paper uses significance analysis, the classification of sections of an application's source code based on the influence they have on the final computation of a program, to increase energy efficiency of an application that computes a scalar result. The authors do this based on a framework that programmers can use to annotate their code based on the tasks each code section performs. It then computes the significance analysis on the tasks specified by the programmer and approximates the least siginificant sections to increase the energy efficiency of the application.","Static analysis, approximate computing, code annotation",Code,Agnostic,Implementation,1,1,1,3,0,0,0,0,0,Academic,,,,,,,,,,,WSRCC,1,1,,,,,,
H6BXP35P,Ape: An annotation language and middleware for energy-efficient mobile application development,"Nikzad, Nima; Chipara, Octav; Griswold, William G.",Proceedings of the 36th International Conference on Software Engineering,ICSE,C,2014,Paper proposes an annotation and middleware framework for mobile applications where programmers can specify which are the most power hungry sections of code. The execution of the annotated code is deferred until the mobile device enters a state that minimizes energy consumption. This relieves the developer from working with multithreading and hardware scheduling directly.,"Energy aware computing, code annotation, context aware",Code,Mobile,Implementation,1,0.5,0,1.5,0,0,1,0,1,Academic,,,,,,,,,,,CODES/ISSS,1,1,,,,,,
IWFUWMJD,Investigating Energy and Security Trade-offs in the Classroom with the Atom ${$LEAP$}$ Testbed,"Peterson, Peter AH; Singh, Digvijay; Kaiser, William J.; Reiher, Peter L.",4th Workshop on Cyber Security Experimentation and Test (CSET 11),CSET,W,2011,"Paper proposes the Atom Leap measurment tool that allows to measure the energy consumption of sections of code in an application. This way, developers can estimate the energy efficiency of parts of their code and create energy aware applications.","Component Level Measuring, Hardware Consumption Measuring, Energy Aware Computing, Code Section Measuring",Code,Mobile,Verification,1,0,0,1,0,0,0,0,0,Academic,,,,,,,,,,,SEKE,1,1,,,,,,
M6QR5AHA,Differences of energetic consumption between Java and JNI Android apps,"Ramírez, Ricardo Isidro; Rubio, Erika Hernández; Viveros, Amilcar Meneses; Hernández, Irene Monserrat Torres",2014 International Symposium on Integrated Circuits (ISIC),ISIC,C,2014,"Paper analyzes the energy consumption of android multithreaded applications running only in Java vs those that run computationally intensive sections of code in C through the Java Native Interface. Paper finds that executing native code within Java saves energy independently of whether multithreading is used or not. However, multithreading of an application does not make a big difference regarding energy efficiency.","Execution Environments, Multithreading Optimizations",Architectural,Mobile,Implementation,0.5,0.5,0,1,0,0,0,0,0,Academic,,,,,,,,,,,SOSP,1,1,,,,,,
EQ8JEST9,Self-adaptive energy-efficent applications: the hadas developing approach,"Horcas, Jose Miguel; Pinto, Mónica; Fuentes, Lidia; Gámez, Nadia","2017 IEEE 15th Intl Conf on Dependable, Autonomic and Secure Computing, 15th Intl Conf on Pervasive Intelligence and Computing, 3rd Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress (DASC/PiCom/DataCom/CyberSciTech)",DASC,C,2017,"Paper proposes a framework in which developers specify energy concerns which are used to model the energy consumption and energy hotspots of an application at design time. At design time, different variations of the application are modeled and stored in a green repository, which allow developers to consider the energy efficiency of all the application variations at design time. These models furthermore allow the developer to create self-greening rules that will trigger a reconfiguration at runtime depending on initialization variables like input size.","Energy aware reconfiguration, Energy Hotspot Identification, Design Self-adaptation, Strategy Repository",Design,Agnostic,"Design, Implementation",1,0.5,0,1.5,0,0,0,0,0,Academic,,,,,,,,,,,Journal of Software: Evolution and Process,1,1,,,,,,
QKX9UAJY,Fine-grained power management using process-level profiling,"Chen, Hui; Li, Youhuizi; Shi, Weisong",Sustainable Computing: Informatics and Systems,SUSCOM,J,2012,"Paper proposes a measuring framework that measures energy consumption at the Windows process level by using four energy models (cpu, memory, disk, network) to estimate the energy consumption and the power of four main components. and provides that information as an API for developers to use. Using this framework, the authors propose a system module that eliminates wasted energy by abnormal applications. Although this module falls outside of application level software, the measuring framework does fall within application level software.","System Process Models, Energy Consumption Models, Application Level Measuring, Energy Aware Computing, API, Dynamic Measuring",Architecture,Agnostic,"Implementation, Verification",1,0.5,0,1.5,0,0,1,0,1,Academic,Extended version.,,,,,,,,,,IEEE Transactions on Emerging Topics in Computational Intelligence,1,1,,,,,,
4S65RXRF,Green mining: a methodology of relating software change and configuration to power consumption,"Hindle, Abram",Empirical Software Engineering,Empirical Software Engineering,J,2015,"Paper proposes a methology to estimate the impact software evolution (changes through commits) has on energy consumption, and give recommendations based on the softwares versioning history. The authors find that the energy efficiency of software across version does change, but they note that more research is needed to know why. The authors also analyze correlations between object oriented software metrics such as added lines, removed lines, lines of code, and churned lines and energy consumption. However, they test for correlation in a relatively small section of code (commit level) and thus they are not able to consistently find a correlation between the software metrics and energy consumption.","Software Metrics, Energy Though Software Evolution","Architectural, Design, Code",Agnostic,Verification,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,IEEE Transactions on Software Engineering,1,1,,,,,,
R3CPADII,Greenminer: A hardware based mining software repositories software energy consumption framework,"Hindle, Abram; Wilson, Alex; Rasmussen, Kent; Barlow, E. Jed; Campbell, Joshua Charles; Romansky, Stephen",Proceedings of the 11th working conference on mining software repositories,ICSE,C,2014,"Paper proposes a hardware based software repository mining tool to measure the energy consumption of mobile applications hosted in software repositories. It does so by providing a web service in which developers specify their tests, their application and the software versions, and test their mobile application's code through software changes.","Hardware Based Measuring, Mining Software Repositories",Architectural,Mobile,Verification,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,GREENCOM,1,1,,,,,,
4A3AGUKH,A comprehensive study on the energy efficiency of java’s thread-safe collections,"Pinto, Gustavo; Liu, Kenan; Castor, Fernando; Liu, Yu David",2016 IEEE International Conference on Software Maintenance and Evolution (ICSME),ICSME,C,2016,"Paper analyzes thread safe implementations of Java collections to find if different implementations of the same collection and the same methods of different implementations have different energy consumption. The authors find that small changes in implementation can make a huge difference in the energy consumption of an application. In particular, they find that the latest versions of thread safe collections are the most energy efficiency in most cases, and scale up the best when compared to the old versions. The latest thread safe collections scale up comparably to the unsafe collections.","Energy Efficient Data Structures, Multithreading Energy Efficiency",Code,Agnostic,Implementation,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,FASE ,1,1,,,,,,
